element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
Fe,1,4811.2824,0.0019,4811.2839,0.0005
Cr,1,4811.35,0.08,4811.2776,0.0005
Cr,1,4811.35,0.08,4811.3624,0.0009
Na,2,4811.37,0.10,,
Cr,1,4811.57,0.03,4811.5698,0.0009
Zn,1,4811.87658,0.00023,4811.87654,0.00019
Cr,1,4811.92,0.06,4811.8537,0.0004
Cr,1,4812.0752,0.0013,4812.0767,0.0003
Th,2,4812.2209,0.0023,4812.2247,0.0004
Fe,1,4812.373,0.003,4812.3777,0.0003
Mo,1,4812.395,0.010,4812.395+,0.003
Ti,1,4812.410,0.003,4812.4125,0.0007
Nd,2,4812.688,0.010,4812.687+,0.003
Th,2,4812.714,0.003,4812.71278,0.00021
Th,2,4813.2159,0.0006,4813.21532,0.00009
Sr,1,4813.226,0.002,4813.2247,0.0021
Ni,1,,,4813.328,0.010
Th,2,4813.3707,0.0005,4813.37072,0.00009
Ti,1,4813.574,0.003,4813.5774,0.0014
Th,2,4813.794,0.003,4813.79840,0.00023
Th,2,4813.907,0.003,4813.91151,0.00019
Ti,1,4814.237,0.003,4814.2385,0.0009
Ho,2,4814.27,0.10,,
Fe,1,4814.4577,0.0019,4814.4582,0.0003
Ni,1,,,4814.599,0.010
Ni,1,,,4814.599,0.010
Th,2,4814.936,0.003,4814.93561,0.00023
Th,2,4815.5098,0.0023,4815.5082,0.0003
Cr,1,4815.6112,0.0008,4815.6116,0.0003
Fe,1,4815.716,0.003,4815.7153,0.0005
Ni,1,,,4815.944,0.010
Na,2,4816.10,0.10,4816.09,0.03
Zr,1,4816.39,0.10,,
Fe,1,4816.581,0.003,4816.5752,0.0003
Th,2,4816.7353,0.0019,4816.7322,0.0003
Ru,1,4816.87,0.10,4816.88+,0.03
Zr,1,4816.98,0.10,,
Sm,2,4817.16,0.10,,
Th,2,4817.273,0.003,4817.27296,0.00012
Ni,1,,,4817.279,0.010
Th,2,4817.4806,0.0023,4817.4730,0.0003
Cr,1,4817.4850,0.0015,4817.4851,0.0009
Cr,1,4817.74,0.06,4817.704,0.021
Ti,1,4817.815,0.002,4817.8153,0.0012
Th,2,4818.2106,0.0004,4818.21042,0.00012
Th,2,4818.6664,0.0021,4818.66866,0.00016
