element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
Ti,1,4000.0430,0.0019,4000.0442,0.0005
V,1,4000.079,0.003,4000.0795,0.0005
Pr,2,4000.17,0.10,4000.173+,0.023
Fe,1,4000.252,0.003,4000.25248,0.00023
Dy,2,4000.45,0.10,4000.4502+,0.0023
Fe,1,4000.4570,0.0005,4000.45722,0.00023
Nd,2,4000.493,0.010,4000.4896+,0.0023
Cr,1,4000.60,0.03,4000.5939,0.0018
Mn,1,,,4001.05,0.10
Gd,2,4001.26,0.10,,
Cr,1,4001.4372,0.0006,4001.4374,0.0006
Ce,2,4001.56,0.10,4001.5631+,0.0023
V,1,4001.6611,,4001.6611,0.0004
Fe,1,4001.6615,0.0005,4001.66094,0.00023
Th,2,4001.73375,0.00021,4001.73377,0.00005
Mn,1,,,4002.02,0.10
V,1,4002.030,0.002,4002.0307,0.0010
Th,2,4002.1060,0.0022,4002.10691,0.00010
V,1,4002.463,0.003,4002.4633,0.0008
Ti,1,4002.4681,0.0019,4002.4694,0.0005
Ho,2,4002.59,0.10,,
Fe,1,4002.6606,0.0024,4002.6607,0.0004
Cu,1,4003.028,0.009,4003.025,0.006
Th,2,4003.10552,0.00016,4003.10545,0.00008
V,1,4003.161,0.003,4003.1613,0.0006
Mn,1,,,4003.260,0.010
Th,2,4003.30850,0.00011,4003.30857,0.00007
Th,2,4003.3883,0.0005,4003.38919,0.00019
Sm,2,4003.46,0.10,,
V,1,4003.524,0.002,4003.5241,0.0003
Eu,2,4003.71,0.10,,
Fe,1,4003.7616,0.0013,4003.7614,0.0004
Ce,2,4003.77,0.10,4003.7675+,0.0023
Ti,1,4003.7970,0.0019,4003.7963,0.0005
Cr,1,4003.9123,0.0060,4003.9110,0.0006
Nd,2,4004.02,0.10,4004.0050+,0.0023
U,2,4004.06,0.10,,
V,1,4004.304,0.002,4004.3046,0.0010
Cr,1,4004.697,0.020,4004.679,0.010
Pr,2,4004.70,0.10,4004.702+,0.023
Fe,1,4004.8272,0.0005,4004.8270,0.0004
Gd,2,4004.94,0.10,,
Fe,1,4004.9782,0.0005,4004.9780,0.0004
Fe,1,4005.2417,0.0005,4005.24148,0.00023
Fe,1,4005.3858,0.0013,4005.38478,0.00023
Fe,1,4005.482,0.003,4005.4800,0.0004
Th,2,4005.52897,0.00019,4005.52848,0.00008
Th,2,4005.57410,0.00019,4005.57431,0.00007
Ce,2,4005.64,0.10,4005.6334+,0.0023
Ti,1,4005.9599,0.0019,4005.9600,0.0005
Fe,1,4006.1574,0.0024,4006.15684,0.00023
Fe,1,4006.3105,0.0005,4006.31097,0.00023
Th,2,4006.38050,0.00016,4006.38079,0.00008
Ti,1,4006.4616,0.0019,4006.4595,0.0010
Fe,1,4006.6240,0.0005,4006.6241,0.0004
Th,2,4006.8739,0.0022,4006.87517,0.00011
Th,2,4006.9363,0.0018,4006.94372,0.00018
V,1,4007.013,0.003,4007.0116,0.0004
Th,2,4007.01867,0.00013,4007.01877,0.00008
Mn,1,,,4007.036,0.010
Th,2,4007.0614,0.0003,4007.06192,0.00005
Ti,1,4007.1891,0.0019,4007.1902,0.0005
Fe,1,4007.2718,0.0005,4007.27179,0.00023
Nd,2,4007.43,0.10,4007.4302+,0.0023
Cr,1,4007.43,0.03,4007.4287,0.0003
Sm,2,4007.48,0.10,,
Ce,2,4007.59,0.10,4007.5859+,0.0023
Zr,1,4007.60,0.10,,
Mn,1,,,4008.016,0.010
Ti,1,4008.0533,0.0019,4008.0532,0.0005
Er,2,4008.18,0.10,,
Pr,2,4008.69,0.10,4008.691+,0.023
Th,2,4008.7431,0.0023,4008.74563,0.00023
Na,1,4008.8,0.2,4008.92,0.11
Gd,2,4008.91,0.10,,
Ti,1,4008.9273,0.0019,4008.9274,0.0006
Er,2,4009.16,0.10,,
He,1,,,4009.256516,0.000020
Cr,1,4009.411,0.020,4009.4100,0.0003
Th,2,4009.5357,0.0006,4009.53595,0.00010
Fe,1,4009.542,0.003,4009.54312,0.00023
Ti,1,4009.6565,0.0019,4009.6568,0.0006
Fe,1,4009.7125,0.0005,4009.7125,0.0004
V,1,4009.782,0.003,4009.7818,0.0011
Ni,1,,,4010.010,0.010
Cu,1,4010.043,0.021,4010.073,0.034
Mo,1,4010.126,0.010,4010.1270+,0.0023
Mo,1,4010.126,0.010,4010.1260+,0.0023
Fe,1,4010.1761,0.0024,4010.17377,0.00023
Th,2,4010.3259,0.0023,4010.3229,0.0010
Th,2,4010.4265,0.0006,4010.42588,0.00011
Th,2,4010.5332,0.0005,4010.53337,0.00007
Pr,2,4010.60,0.10,,
Fe,1,4010.748,0.003,4010.7462,0.0004
Sr,1,4010.806,0.005,4010.805,0.005
Cr,1,4010.836,0.020,4010.837,0.008
Cu,1,4010.836,0.021,4010.852,0.018
Cr,1,4010.983,0.030,4010.948,0.019
Cr,1,4010.983,0.030,4010.975,0.008
Th,2,4010.9840,0.0023,4010.98605,0.00013
Dy,2,4011.29,0.10,,
V,1,4011.305,0.002,4011.3043,0.0003
Fe,1,4011.4072,0.0005,4011.40701,0.00023
Mn,1,,,4011.567,0.010
Eu,2,4011.69,0.10,,
Fe,1,4011.7110,0.0013,4011.71125,0.00023
Th,2,4011.7750,0.0023,4011.77379,0.00013
Mn,1,,,4011.900,0.010
Cr,1,4012.00,0.06,4011.9945,0.0005
Fe,1,4012.1488,0.0013,4012.1492,0.0004
Nd,2,4012.250,0.010,4012.2432+,0.0023
Zr,1,4012.25,0.10,,
Ce,2,4012.39,0.10,4012.3859+,0.0023
Cr,1,4012.4696,0.0009,4012.4694,0.0008
V,1,4012.495,0.005,4012.4878,0.0003
Nd,2,4012.70,0.10,4012.6974+,0.0023
Ti,1,4012.7913,0.0019,4012.7911,0.0005
Ti,1,4013.241,0.004,4013.2496,0.0005
Th,2,4013.2601,0.0005,4013.25955,0.00021
Ti,1,4013.5833,0.0019,4013.5838,0.0005
Fe,1,4013.6392,0.0013,4013.63855,0.00023
Fe,1,4013.7815,0.0005,4013.78165,0.00023
Gd,2,4013.80,0.10,,
Fe,1,4013.8246,0.0005,4013.82435,0.00023
Ho,2,4014.20,0.10,,
Fe,1,4014.2649,0.0013,4014.26533,0.00023
Cr,1,4014.44,0.03,4014.4135,0.0003
Th,2,4014.51413,0.00018,4014.51411,0.00005
Fe,1,4014.5306,0.0005,4014.53083,0.00023
Cr,1,4014.6654,0.0015,4014.6657,0.0008
Dy,2,4014.70,0.10,,
Fe,1,4014.878,0.003,4014.8799,0.0004
Ti,1,4014.8991,0.0019,4014.8975,0.0013
Ce,2,4014.90,0.10,4014.8971+,0.0023
Th,2,4014.9371,0.0023,4014.93993,0.00021
V,1,4015.067,0.002,4015.0690,0.0006
Th,2,4015.1421,0.0023,4015.14384,0.00013
V,1,4015.3472,0.0010,4015.3477,0.0005
Ti,1,4015.3738,0.0019,4015.3726,0.0005
Pr,2,4015.39,0.10,4015.391+,0.023
Er,2,4015.57,0.10,,
Th,2,4015.5890,0.0023,4015.59015,0.00011
Fe,1,4015.606,0.003,4015.6053,0.0004
V,1,4015.659,0.005,4015.6601,0.0008
Cu,1,4015.8,0.3,4015.898,0.097
Th,2,4015.8271,0.0004,4015.82722,0.00010
Ce,2,4015.88,0.10,4015.8750+,0.0023
Cr,1,4016.26,0.06,4016.2636,0.0005
Ti,1,4016.2761,0.0019,4016.2739,0.0005
Th,2,4016.3003,0.0005,4016.30031,0.00013
Fe,1,4016.4191,0.0013,4016.41920,0.00023
Th,2,4016.4381,0.0023,4016.43169,0.00024
Cr,1,4016.60,0.03,4016.5967,0.0005
V,1,4016.663,0.003,4016.6640,0.0005
Mn,1,,,4016.675,0.010
